Site_Depth_Date,Ascidian,CCA,Cyanobacteria,Hydrozoan,Macroalgae,Octocoral,Other mobile invertebrates,Scleractinian,Sponge,Stable substrate,Turf,Unstable substrate,Zoanthid
Xiaomenyu_5m_20210510,0,0.262362499,0,7.37700586601371e-05,0.004591257,0.040267159,0,0.309446968,2.78202556960527e-05,0.000681041,0.347709654,0.02547241,0.009367421
Xiaowan_10m_20160516,0,0.200894853,0.000982081,0.007845832,0.019459865,0.071655943,0.003800725,0.178050419,0.002059072,0.022890688,0.449538894,0.042024298,0.000797332
Xiaowan_5m_20220412,0,0.160133129,0,0.026796821,0.015346259,0.03191603,0.000276421,0.121683436,0.000279516,0.001111879,0.620144613,0.022128863,0.000183033
Xiaoxianglan_5m_20210812,0,0.491439445,0,0.000403804,0.030000454,0.011091956,0,0.069145852,0.002365932,0.001543466,0.374532275,0.013571999,0.005904817
Xiaoyeliu_10m_20190820,0,0.363670646,0.000798233,0.020439579,0.042309397,0.036586507,0.002255326,0.055078253,0.00155684,0.011669618,0.425077087,0.038447414,0.0021111
Xiaoyeliu_5m_20190820,0,0.225962877,0.000119997,0.027587977,0.017251135,0.026120795,0.000548927,0.09559206,0.000889606,0.017750418,0.457259307,0.128723651,0.00219325
Xiaoyeliu_5m_20210828,0,0.191296314,0,0.016130878,0.017390885,0.052330805,0,0.140251442,0.000406978,0.001701831,0.547043279,0.023345746,0.010101842
Xiehe_5m_20210708,0,0.327556635,0,0,0.047670025,0.016905949,0,0.146026093,0.0007918,0.000893969,0.413367256,0.010995467,0.035792806
Xijiyu_5m_20210501,0,0.060375324,0,0.00241182,0,0.337824273,0.000137309,0.222662053,3.91157809914967e-05,0.001037557,0.346023142,0.01264472,0.016844685
Xingyuyu_5m_20220816,0,0.177139185,0,0.100420377,5.53436286267722e-05,0.070946362,7.85940525617612e-05,0.3237596,0.001014914,0.022195338,0.26383469,0.036181587,0.00437401
Xinshe_5m_20200813,0,0.153447178,3.71824697924905e-05,0.001950816,0.036430682,0.019128135,0,0.011483268,0.004320498,0.000963469,0.719984784,0.051194946,0.001059042
Xinshe_5m_20210825,0,0.240464429,0,0.001234845,0.016753303,0.023457438,0,0.082144668,0.000789505,0.000270446,0.598215119,0.031476716,0.005193533
Xinshe_5m_20220818,0,0.164121119,0,0.006874581,0.017730575,0.056917414,0,0.160961567,0.00057635,0.003467802,0.503644323,0.058594797,0.027111472
Xiyuping_5m_20210504,0,0.218020435,0,0,0.011721799,0.018214279,0,0.45909265,2.3955557040955e-05,5.41974038722045e-05,0.271223692,0.020771768,0.000877223
Yanzidong_5m_20220701,0,0.184793693,0,0.005803985,0.000566394,0.068788306,0,0.392022229,0.001311354,0.027711747,0.268484146,0.046936115,0.003582033
Yayo_10m_20190729,0,0.117167343,0,0.004859488,0.002116088,0.014899893,9.86446005574843e-05,0.19608429,0.00295616,0.019172362,0.481816113,0.160829619,0
Yayo_5m_20220713,0,0.224506296,0,0.000356877,0.000561917,0.020181145,0,0.240342205,0.000722091,0.013294619,0.463638235,0.035612225,0.000784389
Yeliu_10m_20200622,0,0.271233625,2.49512051893629e-05,0.000710722,0.000227811,0.00149328,0,0.226653085,0.00289349,0.001824125,0.429788353,0.056493769,0.008656787
Yeliu_5m_20210727,0,0.243676769,0,0.000149672,0.002710194,0.013726981,0,0.175359314,0.004634993,0.001572208,0.289559847,0.017253018,0.251357005
Zhaoyang_5m_20230525,0,0.118065672,0,0,0.008770921,0,0,0.013496636,0.000457527,0.001455359,0.731574724,0.126107245,7.19166953100119e-05
Zhongao_Beach_5m_20200610,0,0.058197741,0.000242773,0,0.003603577,0.010263585,0.001776221,0.053596107,2.05834190270356e-05,0.004275892,0.411590123,0.456433397,0
Zhongao_Beach_5m_20210901,0,0.160602871,0,0.001112172,0.001906389,0.002365946,0.000323808,0.031242974,0.00035638,0.005967997,0.70414514,0.089748307,0.002228017
Zhongliaogang_5m_20220701,0,0.093746365,0,0.014386215,0.000107119,0.028247492,0.000106565,0.306958843,0.000424413,0.008056034,0.436331657,0.109864456,0.001770839
